expectations_1|chat_exp_1|chat_exp_2|chat_exp_3|chat_exp_4|chat_exp_5|chat_exp_6|chat_exp_7|chat_exp_8|reliability_1|reliability_2|reliability_3|reliability_4|reliability_5|reliability_6|trust_1|trust_2|umux_1|umux_2|umux_3|umux_4|strengths|weaknesses|likes|dislikes|user
It was okay, it answered my questions well. But it took a long time until i could find the answer to them|2|5|2|2|2|4|1|3|2|3|3|1|3|2|3|3|3|4|4|3|Hard to say|Understand questions/words outside of given examples|Time it took to load words|"That i had to ""click through"" multiple options until i could receive/ask my question"|80da8de576df3be6d03a234c3eaf5d
I thought the the chatbot was excellent. My questions were clearly answered. The conversation felt very fluid and I was happy with the responses. |5|2|2|4|2|5|2|2|5|5|2|4|2|4|4|4|4|1|5|1|The chatbot was able to respond very well to my questions. I also realised after the task that I had forgot to put a question mark after my questions. However, the chatbot was still able to understand that I was asking a question and not giving a statement and was able to respond with a suitable answer.|Perhaps, it could have been a little more eloquent and well-mannered. It did feel like I was talking to a robot. It felt very much like talking with a machine. |I was impressed that it was able to correctly answer my questions. I did not have to spend a lot of time making the chatbot understand my question my re-phrasing it.|It did feel like talking with a robot. In past experiences with chatbots I have sometimes forgot that they are not actually a real person. It felt very clinical and straight to the point. |575594d011bc94309bfd8e13775e75
Not very well. The chatbot mostly gave responses that were not in line with questions asked or answered incorrectly except for the third one where I had to probe a bit more. The responses were mostly short. In my opinion, the chatbot would require much more work to be reliable enough.|2|4|5|2|4|1|3|3|2|1|5|1|5|1|1|1|2|5|3|5|Come up with responses at all which is not very good seeing that it is obviously supposed to come up with responses|Provide more accurate answers and be more present rather than giving random responses. |I did not have problems with the timing. It did not take too long to come up with responses.|The inaccuracies of the provided responses and how short they tend to be.|d76c5a35e00463a004b636773cace9
"Chatbot rarely managed to give me the answers i was looking for. Especially in the 3rd example, no matter how many times i asked it about ""an intracity trip"" it would ask me for some sort of permission and never actually answered my question. Also i needed to restart the third dialogue since the first time it never gave me the chance to ask ""how i could extend my private trip"".  Generally, i felt that i would need some sort of luck to perform the task accurately and get my job done. I felt that sometimes it couldnt really understand me. On the contrary, i liked the suggestion feature, which helped me ask the questions i wanted with more confidence"|2|4|5|2|4|2|4|3|2|2|4|1|5|2|2|1|3|2|5|5|Give fast answers, give good suggestions on what to ask|"Give answers to anything that is not very simple.\r\nUnderstand complex questions\r\nCompletely meet my needs\r\nWork without problems (on the first example after restarting it, it completely froze and wouldnt work, on the 3rd dialogue it ended before i could perform my ""required task"""|That when everything worked as it should, the answers were almost immidiately given.\r\nI also liked the suggestions (questions)|I wasnt sure if the answers provided could be trusted and i wouldn't be sure that using this chatbot would help me achieve my goal and fix my problem/ get answers to my questions|362227b24c235dd4519e7e832e57c5
It was constantly guiding me on what I should type to get an answer to my question which is helpful as it reduces the frustration of what to type and how to type something to get an answer. It definitely met my expectations|3|4|5|5|3|5|5|4|3|5|2|3|1|5|5|5|5|1|5|1|Guide me on how to type my question to get to my answer quickly|N/A|It is efficient and gives a lot of options which make it easier to get an answer to my questions as the many options are most likely what any person would be interested to know about rather that limiting only to specific options which might not be what a person wants.|N/A|8b5bd577fb760f1b57593c5b20255f
I think it didnt do too well. My questions were probably too complicated and it was probably expecting me to ask short and easy to answer questions. When i asked for how much money i should bring for a trip to tokyo, in a hotel, for 10 days it just said how much do the hotels usually cost for one night but not where|2|5|2|1|None|2|3|4|3|2|2|1|4|2|2|2|1|3|4|4|It did answer fast and mostly answered something around what i asked|the chatbot should be taught how to answer questions that arent just keywords or questions that contain more words or more information at once. That is something it completely failed on|It was fast and i got the answer almost immediately|the chatbot made a final answer after asking me like one question in total and in the end it too did not correctly answered anyway|1cdb32b200c91cee6c37b37cb4fcd8
Very well. I was able to use full sentences as if i were 'chatting' to the chatbot. Each response was of the correct length and very informative. |5|1|2|4|1|5|4|2|5|5|3|3|4|4|4|4|5|1|5|2|Interpret natural sentences. |The UI was a little rough but workable. |Its ability to give me answers quickly. |Just the UI, otherwise very good.|ea86552babcc89b8c31c83263d75bc
"Very badly to be honest. The chatbot although supposed to be able to have a ""chat"" seemed to only understand keywords like cost and trip and seems to have been guiding down a preplanned conversation. Did not feel natural at all."|1|5|5|2|3|1|1|3|2|2|4|1|4|1|1|1|1|4|2|4|Answer the exact questions it had been pretrained on only.|Answer anything out of it's training.|nothing.|It could answer the pretrained questions.|e12730a6828fd845263539ac3fa727
It didn't really match my expectations, as what I was used to with chatbots like chatgpt I expected the bot to at least make an impression of understading what I meant, most of the answers seemed to be around the question but not directly answering what I was asking|2|3|5|2|3|2|2|3|2|2|4|2|4|1|2|2|3|4|4|4|"When asked about very specific things using simple language, for example when asked about a price with a single word ""cost"" it made a quick and resonable answer"|It is terrible at understanding sentences, when I asked a question about prices of hotels in Tokyo, in return I was asked about a country of my stay|when answering the question that I actualy meant, it was pretty resonable and precise|It did not understand more complex questions|1fd04ab59fa554cb8a0b0e2940dc56
The chatbot some how match with my expectations by responding straight to what I\xe2\x80\x99m asking.|4|3|4|4|3|2|2|2|3|4|3|3|4|3|3|3|4|2|5|3|Responding quickly and making short responses |Nothing|I liked the fact that it responds then ask if there\xe2\x80\x99s another question |I disliked the fact that it responds with long paragraphs |4431d165a7ed77a50955730983b048
The chatbot answered all my questions and I'm very happy about that. The Chabot exceeded my expectations.|5|1|1|None|1|None|None|1|5|5|5|5|1|5|5|5|5|1|5|1|Answered all my questions without giving me any problems.|Nothing. The chatbot did everything perfect.|I liked how fast it was to give me everything that I asked. It was amazing experience. |Nothing.  I loved everything about it.|f2ce14e9fd88e1656b5949769be466
well the chatbot, is proper and fast, the Problem I faced is that if you type a wrong word or make a mistake on your sentence, and cannot rephrise it and start again. and also the chat bot is not as good as the likes of chat gbt, it does not provide all information you asked.|2|2|5|4|4|4|4|2|4|2|3|2|4|2|2|2|2|2|4|4|It answers your question correctly.|The chatbot is not versatile|It is fast, it has good communication skill and it replies with short sentences and simple english.|The chatbot does not provide all answers, it only answers general answers.|403e80998148a2f25a07a3a46aaeb1
