dialog_system	ling_style	chatbot_exp	length	success	sub_length	sub_success
cts	baseline	3	2	1	3	4
cts	baseline	3	6	0	3	3
cts	baseline	3	22	1	3	2
cts	baseline	3	23	1	3	4
cts	baseline	3	21	1	3	2
cts	baseline	2	4	1	3	3
cts	baseline	2	6	1	3	4
cts	baseline	2	4	1	3	4
cts	baseline	2	4	1	2	3
cts	baseline	2	2	0	1	2
cts	baseline	2	4	1	3	3
cts	baseline	3	7	1	3	4
cts	baseline	3	4	1	3	1
cts	baseline	3	6	1	2	3
cts	baseline	4	6	0	4	3
cts	baseline	4	6	1	3	2
cts	baseline	4	13	0	4	2
cts	baseline	3	5	1	4	1
cts	baseline	3	2	1	2	1
cts	baseline	3	3	1	3	4
cts	baseline	3	4	1	3	4
cts	baseline	3	2	1	2	3
cts	baseline	3	3	1	3	4
cts	baseline	3	6	1	3	3
cts	baseline	3	2	1	3	4
cts	baseline	3	3	0	2	3
cts	baseline	2	45	0	4	1
cts	baseline	2	24	0	4	1
cts	baseline	2	25	0	3	3
cts	baseline	2	20	1	3	3
cts	baseline	2	2	1	3	4
cts	baseline	2	17	0	5	1
cts	baseline	2	4	1	3	3
cts	baseline	2	2	1	3	3
cts	baseline	2	6	1	4	2
faq	ling_ad	3	6	1	3	3
faq	ling_ad	3	6	0	2	1
faq	ling_ad	3	6	0	2	1
faq	ling_ad	4	2	1	2	2
faq	ling_ad	4	2	1	3	4
faq	ling_ad	4	2	0	3	4
faq	ling_ad	4	2	0	4	3
faq	ling_ad	4	2	0	4	3
faq	ling_ad	3	6	1	3	4
faq	ling_ad	3	8	1	2	3
faq	ling_ad	3	12	1	3	2
faq	ling_ad	5	2	1	1	1
faq	ling_ad	5	2	0	3	3
faq	ling_ad	5	2	1	3	4
faq	ling_ad	3	2	0	1	2
faq	ling_ad	3	8	1	1	1
faq	ling_ad	3	2	1	3	4
faq	ling_ad	3	2	1	2	2
faq	ling_ad	3	2	1	2	2
faq	ling_ad	3	2	0	1	2
faq	ling_ad	4	2	1	3	4
faq	ling_ad	4	2	1	3	4
faq	ling_ad	4	2	0	3	3
faq	ling_ad	3	2	0	3	4
faq	ling_ad	3	2	1	3	4
faq	ling_ad	3	2	0	2	1
faq	ling_ad	4	4	1	2	1
faq	ling_ad	4	2	0	2	2
faq	ling_ad	4	2	0	1	1
faq	ling_ad	3	2	1	4	1
faq	ling_ad	3	2	1	3	4
faq	ling_ad	3	2	0	3	2
faq	ling_ad	3	2	1	3	1
faq	ling_ad	3	2	1	3	3
faq	ling_ad	3	2	0	3	3
faq	ling_ad	4	2	1	2	2
faq	ling_ad	4	2	1	1	1
faq	ling_ad	4	2	1	3	3
faq	ling_ad	4	2	1	3	2
faq	ling_ad	4	2	1	3	3
faq	ling_ad	4	2	0	3	1
faq	ling_ad	2	2	1	2	2
faq	ling_ad	2	2	1	2	2
faq	ling_ad	2	2	1	4	4
faq	ling_ad	5	2	1	3	4
faq	ling_ad	5	2	1	3	3
faq	ling_ad	5	2	1	3	3
faq	ling_ad	3	2	1	3	4
faq	ling_ad	3	2	1	3	4
faq	ling_ad	3	4	0	3	4
faq	ling_ad	3	4	1	3	2
faq	ling_ad	3	2	0	3	4
faq	ling_ad	3	2	1	3	3
faq	ling_ad	1	2	0	2	2
faq	ling_ad	1	2	0	3	4
faq	ling_ad	1	2	0	3	3
faq	ling_ad	4	2	0	2	3
faq	ling_ad	4	2	1	3	3
faq	ling_ad	4	2	0	3	3
faq	ling_ad	4	2	1	3	4
faq	ling_ad	4	2	1	3	4
faq	ling_ad	4	2	1	2	1
faq	ling_ad	5	2	0	3	3
faq	ling_ad	5	2	1	3	4
faq	ling_ad	5	2	1	3	4
faq	baseline	3	2	0	2	2
faq	baseline	3	2	0	2	2
faq	baseline	3	2	0	3	3
faq	baseline	4	2	1	2	2
faq	baseline	4	2	1	1	2
faq	baseline	4	2	1	3	3
faq	baseline	4	2	1	2	3
faq	baseline	4	2	1	3	3
faq	baseline	4	2	0	2	2
faq	baseline	3	2	1	2	3
faq	baseline	3	2	1	2	3
faq	baseline	3	2	1	2	2
faq	baseline	3	2	1	3	3
faq	baseline	3	4	1	2	3
faq	baseline	3	4	0	3	3
faq	baseline	3	2	1	2	3
faq	baseline	3	2	1	2	4
faq	baseline	3	4	0	2	2
faq	baseline	3	2	0	1	3
faq	baseline	3	4	0	1	1
faq	baseline	3	2	0	2	3
faq	baseline	3	2	1	3	4
faq	baseline	3	2	0	1	2
faq	baseline	3	2	1	3	3
faq	baseline	3	2	0	3	1
faq	baseline	3	2	0	3	4
faq	baseline	3	2	1	3	4
faq	baseline	3	2	1	1	2
faq	baseline	3	2	0	2	3
faq	baseline	3	2	0	1	1
faq	baseline	3	2	1	2	2
faq	baseline	3	2	0	1	1
faq	baseline	3	2	1	3	3
faq	baseline	3	2	1	2	2
faq	baseline	3	2	0	2	2
faq	baseline	4	2	1	3	3
faq	baseline	4	2	1	3	4
faq	baseline	4	2	0	3	3
faq	baseline	2	2	0	2	2
faq	baseline	2	2	1	2	2
faq	baseline	2	2	1	3	2
faq	baseline	3	2	0	2	4
faq	baseline	3	2	1	2	3
faq	baseline	3	6	1	1	2
faq	baseline	3	2	1	3	3
faq	baseline	3	2	0	3	1
faq	baseline	3	2	0	3	2
faq	baseline	2	2	1	2	2
faq	baseline	2	2	1	3	4
faq	baseline	2	2	0	3	3
faq	baseline	4	2	0	1	1
faq	baseline	4	2	1	3	4
faq	baseline	4	2	0	2	2
faq	baseline	3	2	1	3	3
faq	baseline	3	2	1	3	4
faq	baseline	3	2	0	3	3
faq	baseline	3	2	1	3	3
faq	baseline	3	2	1	2	3
faq	baseline	3	2	1	3	3
faq	baseline	3	6	0	1	1
faq	baseline	3	2	1	3	3
hdc	ling_ad	4	31	1	4	3
hdc	ling_ad	4	25	1	5	4
hdc	ling_ad	4	23	1	4	4
hdc	ling_ad	4	9	1	3	3
hdc	ling_ad	4	2	1	2	4
hdc	ling_ad	4	20	0	5	1
hdc	ling_ad	4	4	1	2	3
hdc	ling_ad	4	5	0	1	2
hdc	ling_ad	4	2	0	1	1
hdc	ling_ad	3	5	1	2	3
hdc	ling_ad	3	3	0	1	1
hdc	ling_ad	4	28	1	3	3
hdc	ling_ad	4	27	1	3	3
hdc	ling_ad	4	5	1	3	4
hdc	ling_ad	3	18	1	3	3
hdc	ling_ad	3	27	1	4	4
hdc	ling_ad	3	20	1	3	4
hdc	ling_ad	4	5	0	1	1
hdc	ling_ad	4	12	0	3	2
hdc	ling_ad	4	18	0	4	1
hdc	ling_ad	3	22	1	3	4
hdc	ling_ad	3	5	0	2	3
hdc	ling_ad	3	17	1	3	4
hdc	ling_ad	3	9	1	1	3
hdc	ling_ad	3	2	1	1	4
hdc	ling_ad	3	11	0	4	2
hdc	ling_ad	3	14	0	4	2
hdc	ling_ad	3	3	0	4	1
hdc	ling_ad	3	2	1	3	3
hdc	ling_ad	2	7	0	3	4
hdc	ling_ad	2	2	1	3	4
hdc	ling_ad	5	8	1	3	3
hdc	ling_ad	5	29	1	3	3
hdc	ling_ad	5	4	1	4	3
hdc	ling_ad	2	27	1	3	4
hdc	ling_ad	2	6	1	1	4
hdc	ling_ad	2	8	1	3	4
hdc	ling_ad	3	16	1	2	2
hdc	ling_ad	3	13	0	2	1
hdc	ling_ad	3	21	1	3	4
hdc	ling_ad	4	13	0	3	3
hdc	ling_ad	4	12	0	3	3
hdc	ling_ad	3	24	1	4	1
hdc	ling_ad	3	27	1	5	2
hdc	ling_ad	3	23	0	5	1
hdc	ling_ad	3	6	1	3	4
hdc	ling_ad	3	5	0	2	2
hdc	ling_ad	3	2	0	1	1
hdc	ling_ad	4	6	0	1	1
hdc	ling_ad	4	2	1	1	2
hdc	ling_ad	4	2	0	2	2
hdc	ling_ad	4	7	0	1	1
hdc	ling_ad	4	19	0	2	1
hdc	ling_ad	4	3	0	1	1
hdc	ling_ad	4	26	1	3	4
hdc	ling_ad	4	10	0	3	2
hdc	ling_ad	4	6	0	3	4
hdc	ling_ad	3	6	1	3	4
hdc	ling_ad	3	10	0	3	4
hdc	ling_ad	3	5	0	2	1
hdc	ling_ad	3	26	1	3	2
hdc	ling_ad	3	22	0	3	1
hdc	baseline	3	23	1	3	4
hdc	baseline	3	2	1	4	2
hdc	baseline	3	5	0	3	1
hdc	baseline	4	6	1	3	3
hdc	baseline	4	11	0	4	2
hdc	baseline	4	30	0	4	1
hdc	baseline	2	6	1	2	2
hdc	baseline	2	2	0	3	2
hdc	baseline	2	8	0	1	1
hdc	baseline	4	13	1	3	2
hdc	baseline	4	25	1	4	3
hdc	baseline	4	17	0	4	1
hdc	baseline	2	6	1	3	4
hdc	baseline	2	33	1	5	3
hdc	baseline	2	8	0	5	1
hdc	baseline	1	23	1	3	3
hdc	baseline	1	24	0	4	3
hdc	baseline	1	27	1	5	4
hdc	baseline	3	16	0	4	2
hdc	baseline	3	7	0	3	3
hdc	baseline	3	30	1	4	2
hdc	baseline	3	13	0	5	1
hdc	baseline	3	4	0	3	4
hdc	baseline	3	1	0	2	1
hdc	baseline	3	1	0	2	2
hdc	baseline	3	5	0	1	1
hdc	baseline	3	12	0	1	1
hdc	baseline	3	18	1	3	3
hdc	baseline	3	2	1	3	3
hdc	baseline	3	8	0	2	1
hdc	baseline	3	36	1	4	3
hdc	baseline	3	4	0	2	1
hdc	baseline	3	4	0	3	1
hdc	baseline	3	20	1	3	4
hdc	baseline	3	7	0	3	4
hdc	baseline	3	24	1	3	4
hdc	baseline	4	36	1	4	3
hdc	baseline	4	27	0	3	3
hdc	baseline	4	15	0	3	4
hdc	baseline	3	4	1	3	4
hdc	baseline	3	2	1	2	3
hdc	baseline	3	2	0	2	2
hdc	baseline	3	24	1	4	4
hdc	baseline	3	27	1	4	4
hdc	baseline	3	9	0	3	3
hdc	baseline	3	6	1	3	3
hdc	baseline	3	2	0	3	3
hdc	baseline	3	5	0	2	1
hdc	baseline	2	29	1	3	3
hdc	baseline	2	9	0	2	1
hdc	baseline	2	9	0	3	1
hdc	baseline	3	29	1	4	4
hdc	baseline	3	8	0	4	1
hdc	baseline	3	36	1	4	4
hdc	baseline	3	1	0	3	3
hdc	baseline	3	2	0	5	3
hdc	baseline	3	1	0	1	1
hdc	baseline	4	12	0	3	3
hdc	baseline	4	5	0	1	2
hdc	baseline	4	10	0	2	1
hdc	baseline	3	9	1	4	3
hdc	baseline	3	2	0	3	3
hdc	baseline	3	1	0	2	1
hdc	baseline	4	32	1	2	1
hdc	baseline	4	23	1	4	1
hdc	baseline	4	21	1	3	3
