expectations_1|chat_exp_1|chat_exp_2|chat_exp_3|chat_exp_4|chat_exp_5|chat_exp_6|chat_exp_7|chat_exp_8|reliability_1|reliability_2|reliability_3|reliability_4|reliability_5|reliability_6|trust_1|trust_2|umux_1|umux_2|umux_3|umux_4|strengths|weaknesses|likes|dislikes|user
in short questions they were met. However, in the last question, it took to much time to get an answer, and it didn't give me an exact answer|5|4|5|4|3|4|3|4|4|4|3|3|3|4|4|4|4|2|5|2|giving precise answers to very direct questions|when the question had more requirements, while it gave a related answer, it didn't give the exact value for a question with three requirements|it was simple to use, and gave precise answers|when the question had more requirements, the answer wasn't as much precise|73055a2253f5f15454466c6c2768d3
Since the questions were very specific, the chatbot responded perfectly and quite quickly, so it exceeded my expectations. There was only one interaction (the second one) where I basically had to repeat my question to receive a response that was in line with it.|4|3|5|4|2|2|5|2|4|4|4|3|4|3|4|4|5|2|5|2|Guide you through the navigation of websites, quickly finding what you\xe2\x80\x99re looking for and assisting you in the process.|Think outside the box and be creative in finding a solution to a specific problem, and assist people who may have trouble explaining their issue clearly.|For me, it's a first attempt to solve my problem on my own, without having to speak to a person, but only in guiding me to the information I need.|What I don\xe2\x80\x99t like is when chatbots get stuck in a loop and give you the same response that leads to no solution. I also hate that they can\xe2\x80\x99t transfer you to a human when they start looping.|95e0c876a0a9705054cc37f0aabdc7
It was good, but sometimes it failed to answer correctly|3|4|4|5|1|5|4|5|4|4|3|4|4|3|3|3|3|2|4|3|Answer queries about specific information|Provide info on more vague questions|The speed|The misunderstandings|f6d66992e1ca6efeddc7451052240e
Exactly my expectations:mid communication with mediocre results.|3|4|2|1|None|1|5|3|2|1|3|2|4|1|1|1|1|5|3|3|In one instance give me correct answer|Give me the exact answers needed|The fast replies|The frustrating replies|1c12c92ae12dfb635103a0d179258e
i had a little difficulties but it was okay.. i got my answers. |4|5|4|4|4|3|4|4|4|4|2|4|3|4|3|4|3|2|3|2|it did well.offered me information and everything was ok. but maybe it could link me to somewhere.. where i can see more information?|everything was quite ok|that i got quite quick answers.. |i had a bit longer time with one answer.. so that|b0d327a4da2ba06695ab1d2874fcc0
It felt very constrained to preprogrammed responses and topics. It felt like a bot rather than a person. However this is the level I would expect from an assistant like that, based on experience.|4|4|4|4|5|2|3|5|4|3|3|1|4|2|2|2|2|4|3|4|respond to keywords and list information about that topic.|Text like a person and respond to complex questions.|It got some things right.|Feels unreliable|7c059fbe85a2415bec8d372f5b9a96
well, it was ok but not superb. At my second session it did not answered me at all. Also it was too artificial i can say the answers. not friendly at all|3|4|3|4|4|2|3|3|3|2|4|3|4|2|2|2|3|2|4|2|give generic Information. for those tasks it is ok i guess|i believe it can not give specific answers. Also it can fall into loops.|it was cool to have a chatbox to help you. just this|too generic, too unfriendly. not quite yet good|96554bef85eff367e50863e7f47a2d
Mostly well, my expectations were met.|2|4|5|2|4|4|4|2|4|4|3|2|3|3|3|2|4|4|4|4|It was able to understand my questions the majority of the time, once I understood which options to choose I was able to get the information which I required, however as a new user I think it would take a lot longer to get to these answers.|Understand complex questions.|It was smooth and fast.|It's always a little frustrating if your problems aren't solved straight away.|9c684c2c6abb202ee607c3e38df6d6
it fellt not very interactive but very scripted but it always gave the right info|2|1|2|1|3|4|4|1|4|4|3|3|4|2|1|2|3|3|5|1|give a precise answer|the answers were given too quick left feeling that chat might not know something exactly and interpret something wrong|it was fast|"it felt too ""chatbot-like"""|065a377639d60e104cfdd66f68e1db
my expectations were met by the chatbot the way zi have anticipated |4|4|5|5|4|5|4|2|4|5|4|4|3|4|4|4|4|2|5|3|everything for it did well|I didn't have any problem with that one|The way it responded it didn't take time|I didn't dislike anything|a655c0da4993eff5332735d36d1338
Mostly ok, the chatbot was giving a lot of unwanted information.|4|4|5|3|3|4|4|2|3|4|4|2|5|2|2|2|3|2|5|2|giving information on the context (even if not asked for)|getting to the point and offerign ways to make reservation for the hotel.|"some effort were put to make the chatbot write like a human by giving him somewhat of a familar tone (words like ""stuff"" and emojis)"|a bit too much information drowned the valuable bits|4beb52d8d9ec24085669500b03e4dc
The chatbot felt very telegraphed, and my input didn't feel like it had much of an effect on its output. In one case, it completely ignored part of my input. It felt more like a machine specifically designed to answer the 3 given questions.|3|5|2|None|1|None|4|4|3|4|2|1|2|4|4|4|1|4|5|3|It could precisely answer the question by the end of the dialogue.|It couldn't properly read my input, and so it had to ask certain questions that my original input had already answered.|I liked the speed of its response.|I disliked the fact that it ignored certain parts of my input.|52294614b51ef6bf0986ea3aad6788
2/3 times i was unable to find out the answers|4|3|3|1|None|1|1|1|1|1|1|1|1|1|3|3|1|5|1|5|basic information|complex questions|simple/reset button was good|no information easy to get |6d44179da1563592c5e344b692971e
My expectations were met. It was concise and answered my questions with providing the information i need to fill out without me having to go look for it. |4|3|3|3|2|4|5|2|5|5|3|4|3|5|5|5|4|1|5|1|answering questions and providing information needed |Maybe answering more than one question in a sentence?|Its quick|NA|9ca122597c1202b50061404326cd1d
"The second exercise where I had to question if I had to share a room with a colleague was not answered. Not sure if it was a bug. So I don\'t think it was enough to test the chatbot. On top of that the anwers it gave me where based on expecting inputs, like ""Book a trip"", where the answer was a link to request authorization to my superior. It fealt like a deafault answer instead a personalized one."|2|5|5|2|5|1|3|3|3|2|5|2|4|2|2|2|2|4|3|3|Interpreat default inputs and answer to them.|Interpret custom inputs with natural language. Again, I am not sure if it was a bug when I tried or if is actually a limitation of this chatbot.|Just like another chatbots, theoretically, all I have to do is input a question and I should receive an answer or a request for more information, just like a real conversation.|That it didn't actually worked xD.|c334bbab21038ec5b0e8ef2532ca98
The chatbot generally did well, with the exception of the first interaction where it didn't even come close to answering my question. The other interactions met my expectations in terms of having a descriptive and correct answer.|4|1|2|1|2|4|5|1|4|3|3|4|4|3|3|3|4|2|5|1|The chatbot was generally good at getting a quick answer for specific questions I was asking.|The chatbot was generally good at it's entire job, but the first interaction was incredibly poor and didn't come close to answering my question.|The chatbot was always incredibly quick.|On just that first chatbot, I was frustrated by only being allowed one line of communication. It was answering incorrectly, and perhaps another chance to clarify my desires to the bot might have made it better.|dd245671ec7246a2ddf0308bf900ed
I had higher expectations and found that I had to rephrase my questions several times to get an answer that was relevant |1|3|4|1|5|1|5|1|2|1|4|1|4|1|1|1|1|5|3|5|give quick answers|interpret questions that had multiple layers |I liked that it gave quick answers|I didn't like how it didn't fully answer some of my questions |7bc26d20092c35be168b3c702b3ff5
It didn't match my expectations. The answers are too short and general. There are no clarifications.|3|5|None|1|5|1|5|4|3|2|4|1|3|1|1|1|1|4|3|3|Can do better if it is able to clarify the questions|Too impersonal|It gives fast answers|Too short answers not of value to me|b8e63eafb8b739a9afbdc07936e3d9
The chatbot did a good job. It answered my questions and in some cases went into much detail to give me a complete answer. |5|2|4|2|4|2|5|2|4|4|2|3|2|4|4|4|4|2|4|2|Answer questions directly.|The chatbot answered my questions so I did not think there was something it could not do. |It gave the answers directly, without having to search for it. |Nothing.|0f7453ed7e2a7d60350698c1343c32
well. I thoroughly enjoyed it's answers|5|2|5|4|2|5|5|1|4|4|2|4|2|4|4|3|5|2|4|3|Answer the questions|put answers in one tab|How quick it was|I had to go to another tab to see my answers|de6c54120f63fc4a569c1735655b4e
using key words worked really well|2|5|5|3|5|3|3|3|3|4|4|3|4|4|4|4|4|3|4|3|provide information using key words|answer questions with no key words|it was simple|capabilities were limited|be07cc2f28ed5eafa09a432ff5f14c
I found the length of answers, and speed of the chatbot to be as I expected (probably even a little faster), however the accuracy of answers seemed very off in 2/3 questions.|3|4|3|2|4|3|2|2|2|2|4|3|4|2|2|2|3|2|4|4|speed and conciseness|provide accurate answers|the swift answers|the irrelevant answers|70dc75e8c252d187be492c1be79b33
 It provides rapid answers to your questions.|2|3|4|3|3|4|3|2|3|4|4|4|3|4|4|4|4|4|4|4|translate into African language|Offer the same level of depth or expertise as a specialized professional.|the chatbot does not judge|I did not get the exact answer I was expecting |7981a2cb007ba83846ba25c00b163f
my expectations were not met. My question were not answered.|1|4|3|1|3|3|3|2|2|1|3|1|1|1|1|1|1|5|1|1|Give accurate answers.|NOT WELL|NOTHING|NOT ACCURATE|430de41a3e698669b0b72ac6369fdd
No it could have asked additional questions to gather more information about the inquiry before answering.|4|3|4|1|5|1|4|2|2|2|3|1|4|2|2|2|2|4|3|3|answer directly if the question/answer combo was very specific|ask further questions |mostly nothing|It was very general and didn't seem very well programmed to handle complex inquiries|9a2703aa0688484505f242f8bbf8d1
Most answers were not what I am looking for but it tried to accommodate my needs|4|4|4|4|4|4|4|4|4|4|1|3|3|4|4|4|4|1|4|4|Try to provide more complex answers|They could be errors to answers|It was efficient and provided answers |The answers were short|373292acc466b7540b4da32575227f
The chatbot did okay, it did not understand everything I wanted but i also wasnt very specific, I think if this is an AI model it needs to be trained a little bit more. |3|4|5|1|4|2|4|1|3|2|4|1|4|2|1|1|2|4|5|3|The answer time was quick and the response was at least a little thematic|It could not always understand my question and requirements|The GUI and the responsive design, automating task that dont need to be done by real people|The fact that its still too early to release it into public use as it makes too many mistakes|7252eaa5da52fa0e0c9a7146d2c78b
My expectations were met. The chatbot was very interactive.|3|5|5|4|3|5|4|5|4|4|4|3|2|4|3|4|3|1|4|2|the chatbot is great|none|it was easy and smooth|none|88be59647581deb262307b4ba42c67
i think the chatbot did a speldid job ! aswering my questions correclty and giving enough details without being too much /|5|2|4|2|2|3|5|2|4|4|3|3|3|4|4|4|5|1|4|1|it was giving right and clear answers in the first reply |nothing wrong with it |i liked the fact that it gave enough details without giving too much unnecessary information|nothing i disliked |4c56b791532b2baae6b7eba1a8af9b
In most ways it was able to pretty much answer the questions, Its the same as any other chat bot that I have previously used.|4|4|2|2|5|2|4|2|4|3|3|4|5|3|3|4|3|2|5|2|That chatbot could communicate very well and provide correct spelling and grammar also has a nice feel to it|Could not really fully answer the questions kept and mentioning the website to get information |That chatbot was cool with its adding of periodic smileys at times when responding\r\nThe chatbot also has a friendly feel to it |Some questions were not fully answered and the interaction was not that good, had better experience using other chatbots|39f64ccdabe4372ed615752f572e41
it exceeded my expectations and i was able to get answers when i typed my own questions.|5|5|5|4|5|5|5|2|4|5|4|4|2|5|4|4|4|2|4|2|i was satisfied with the experience and i think the chatbot is doing well as it is at the moment|nothing|it gave me precise answers to my specific questions.|when it didn't give me the answer i was looking for after choosing a question from the one's it provided.|997737fd3e5a316e16a9fe575c3c94
very well|5|1|4|4|5|5|4|4|4|4|5|4|4|3|4|4|4|4|4|5|maybe give a longer response|nothing|I love the simple language |N/A|13c8e631cc837d9daaf64eb658a0f4
The chatbot met my expectations it was very accurate and precise when answering my questions. It provided much details and explainations|5|2|4|5|4|4|5|2|4|4|5|3|4|5|5|5|5|1|4|1|It was able to give accurate answers to my questions|It was not able to interpret some questions that were not precise enough|It was easy to use and the experience was seamless. It also gives quick responses|There is nothing that I did not like about it|2c956e456918b2d8207b052c82e8d9
The chatbot exceed my expectations to be honest, it gave clear and concise answers to all my questions.|5|5|1|None|1|4|5|1|5|5|1|4|4|3|3|3|4|1|5|1|Give clear answers|Doing more questions after giving the answers |Easy to use|Nothing|7b86ffdd1f544b2ff30b86ba8b8c25
i felt it could be quicker the answer the questions, had to ask to many questions before hand|2|4|2|2|4|3|2|5|3|2|4|4|4|2|3|3|3|4|4|3|give the details|two many claifying questions|none|had to ask to many questions|bdd856b672ac99f02096f1b0fd6b03
It met all my expectations, but i felt like its messages were a bit too short mostly. And it wouldnt understand that im trying to take a vacation after my bussines trip.|4|2|5|4|3|1|4|2|4|4|5|2|4|3|4|3|4|2|4|3|it could give me general information very well. If it got more specific it got a bit confused.|Didnt give me specific info too well, also was a little confused about me wanting a private vacation not just a business trip.|UI is nice and simple. Bot felt friendly.|Short answers.|562db0d432a4918a3e2b4fc1ab0ac9
I expected it to perform better. I feel like it had way too little informations, e.g. in case of reimbursement I'd like to know what is the cancellation cost and what is the latest date I can cancel my reservation.|2|5|4|2|5|1|5|1|4|2|4|1|4|1|2|2|1|5|4|3|It could provide correct, detailed and personalised informations to the complex questions.|I'm not sure.|I liked how it provided semi-correct informations after just one question.|The answers were way too generic and didn't feel personalized or detailed at all.|b31abe70f9457ba9f13dd77ae3863a
i didnt like it. it didnt answer my questions|1|1|1|1|1|1|1|1|1|1|5|1|5|1|1|1|1|5|1|5|answer specific questions|answering my questions|i didnt like the interactions with the chatbot|it didnt answer my questions|b284d3f286ce58f9587ec7c8bdc73c
Very well met|4|2|2|4|4|4|4|2|4|4|4|4|4|4|4|4|4|4|4|1|Answer on point|Not direct question |Quick easy|Nothing |daddc76437d328b08c7c776782eb34
The Chatbot answered all questions comprehensively and exceeded my expectations.|2|5|5|4|3|3|4|5|4|4|2|4|2|3|4|4|4|2|4|2|try to understand what my request was|give me the answer I was looking for, immediately.|that responses were provided quickly|too many steps to get to the answer I was looking for|ece2aa21ec41b1a612611f32724525
The chat was accurate, clear and concise. The time management to get te relevant information was very detailed orientated and helped answer my questions efficiently.|5|3|3|5|5|5|5|2|4|5|3|4|3|5|3|4|4|3|4|3|The chatbot can communicate well and very fast as well. Clear and concise on every question and answer. |NA|That information is as I requested and also it does it in less time than what a human can do.|Nothing.|5b180aecb48b50aa0900c791e31b7e
This chatbot was just about average. It gave vague answers that had to be searched for and gave minimal information on things that could be considered important. There was the same automated responses for every question typed and it made it extremely difficult to manage.|1|5|3|2|5|2|3|4|3|3|5|1|4|2|2|2|2|5|3|5|The chat bot could correctly understand key words and point you in the right direction. It was very time efficient.|The chat bot can not be communicated to like you would a human. It would often give the same responses to different questions and vaguely show you what you need to accomplish/do.|I liked how quickly it was able to understand me.|It was frustrating to have to put in different phrases to not get the right information. If this was a serious issue it would feel impersonal and unprofessional.|10fd97013def5584b50f75bf176ff9
It didn't help me at all. I would recommend having specific buttons, so the users cannot write on their own. It understands only specific things using keywords, so I cannot make a proper dialogue. |1|5|5|None|5|1|4|3|1|4|2|1|2|1|4|1|1|5|1|5|Reply to general questions.|Understand my specific question. |It had some examples of text that I could give as keywords. |It didn't understand much. The answers that it gave me I could probably find easily to my job's website. |36b2e74b2308778203e6aa1a67d368
It was able to give me good correct answers timeously but with one question it was tricky phrasing and getting answers but generally matched my expectations.|5|4|5|4|4|4|4|4|4|4|4|3|3|4|4|4|4|2|5|2|Understand questions and answer accordingly most of the time|Understanding the more complex/ not straightforward questions|Quick response time, not having to ask many questions before it understand what I am looking for|Nothing really|da23555b7f227184db93069b8fe90d
Good interaction|4|3|5|4|5|3|5|4|4|3|5|4|5|4|3|4|5|3|5|4|None|None|Good answers|None|f666f28aaa150b0282e569cdafa469
Everything was good .I didn't express any error |4|None|2|5|5|5|5|5|2|4|4|4|4|4|4|4|4|2|4|2|Non . everything is good \xf0\x9f\x98\x8a|Non everything is good \xf0\x9f\x98\x8a|I like the respond \xf0\x9f\x98\x8a was very quickly |Nothing I disliked |6a545b2723bb8f31b6bbe95a2fd2e8
The third scenario great the first two were not good left unanswered, i didnt get the answers to my questions.|2|5|5|4|5|2|2|5|2|2|4|2|4|2|2|2|2|5|2|5|Ask clarifying questions|Understanding my question |The suggestions it gave of what to ask|That i couldnt click the suggestions i had to type them out|30290a9c9bcd2bf161eb4c945c2281
it always ask the same question which is annoying|2|1|5|1|5|None|1|5|4|2|4|3|4|2|3|2|1|5|3|5|not much|asking questions|felt like a robot|it is annoying|bef4f95c2e4d20aa7762ff58cea744
The chat bot was less helpful than my other experiences with chat bots for customer service on websites.  It asked me questions I did not have answers to and would only respond to set dialogue.|1|5|5|1|5|1|1|5|1|1|5|1|5|1|1|1|1|5|1|5|The chat bot was good at giving general information.  For example it listed covid restrictions.|The chat bot was not able to answer questions that were not in the categories it had listed.|I liked that it listed covid restrictions and general information.|I did not like that it asked a lot of questions before it was able to answer anything.|85f5482a7b17efbf91e92f3aeafa23
On the first interaction, I was pleasently surprised and it did better than my expectations. However, the second and third interactions were much worse, I honestly couldn't tell if the chatbot was understanding my questions because it gave me vague, preset answers so I couldn't trust it whatsoever.|3|4|4|1|5|1|2|None|2|2|5|2|5|1|1|1|2|4|2|4|I'm not sure? My experience was so negative in the end that I ended up feeling like I could not trust whether it was doing anything well or not.|Understand the specific situation I was in and give me personalized advice for that situation.|I liked that I didn't feel like I was inconveniencing a real person with my questions.|It was frustrating that I couldn't tell whether it was understanding my questions or not, I couldn't trust its replies since they seemed too vague and like preset answers.|5037c79044cefc022ea4be342d1fb3
Honestly? Not at all. The answers given by the chatbot were very general and didn\xe2\x80\x99t address the issue at hand. I would expect soooo much more from a chatbot to even consider using one.|2|5|4|3|None|1|5|3|2|2|5|1|4|1|1|1|1|5|3|4|Definitely being more knowledgeable about his industry.|Maybe it's the phrasing but I'm scratching my head what is your question here.|Probably time it needed to give me an answer. Wrong one, but yeah, that was fast.|He didn't help me with my problem, anything I guess.|46ec81c0f5b71b6c29ab9ab3dc6c99
Because the answers were direct and precise, the chatbot gave out answers based on my precise questions. Answers about transportation, safety traveling tips and general information and resources were straight and direct.|3|4|5|3|4|4|4|3|3|4|4|3|3|3|2|2|3|1|4|1|Answer questions that were asked|Give out options about safety tips|Gave precise answers|Could not locate safety traveling tips|362db4eff5c339f4119679dd8a63ec
It felt like it was spewing random answers at me while disregarding anything I said. |1|1|3|1|1|1|1|3|1|1|1|1|5|1|1|1|1|5|3|4|nothing|everything|nothing|everything|3430e4045ec89d661a7f4d1d9fa659
Better than I expected two out of three times. I was expecting to ask more than 3 questions before getting the right answer and that was not the case. Although, the lasr scenario I was not able to get the information I wanted even when asking clear questions.|5|2|4|3|2|4|5|4|4|4|4|5|4|4|4|3|4|2|4|3|Get information when asked short questions \r\nDeliver the right answer when using the key words given by it|Answer long questions |it was short and efficient, no need to reformulate the same question twice|The fact that in the last scenario I was left with no answers and that made me feel frustrated. I felt the question was clear enough|2455f27c8aed531cb2046b35a292f8
There were some interactions that were fine, but others were bad. I had expected that the chatbot would assess my question and respond accordingly, but rather than that I received similar generic answers.|2|5|5|4|4|2|4|3|2|3|4|1|4|3|3|2|2|2|3|4|Respond to direct questions.|Analyze and provide tailored answers.|It was fast in responding.|I felt the responses were specific and preinstalled.|680364a9f4d189548e98bc745564ec
