gender|age|experience_chatbots|experience_businesstravel|expectations_1|expectations_2|expectations_3|chat_exp_1|chat_exp_2|chat_exp_3|chat_exp_4|chat_exp_5|chat_exp_6|chat_exp_7|chat_exp_8|user
male|50-59|4|4|I expect to get information on business travel regulations, policies, and procedures from a chatbot.\r\n \xe2\x81\xa0| \xe2\x81\xa0I would use a chatbot for quick, simple queries or when I need immediate answers, but prefer human contact for complex issues or emotional support.\r\n| \xe2\x81\xa0I would use a chatbot for quick, simple queries or when I need immediate answers, but prefer human contact for complex issues or emotional support.\r\n|4|4|2|4|5|3|4|4|13c8e631cc837d9daaf64eb658a0f4
female|20-29|4|4|I would expect to find information about travelling locations and information about where I am travelling to. I would consider a chatbot when I require information on the go and don't feel like interacting with an actual person|"""Where would I find the closest restaurant""  This is very much similar to how I would phrase it to a real human being"|I would expect an answer that is highly accurate and very detailed.|5|2|5|5|3|5|4|4|2c956e456918b2d8207b052c82e8d9
male|20-29|5|3|Detailed information on the company\xe2\x80\x99s travel policies.\r\nGuidelines for booking flights, hotels, and car rentals.\r\nReimbursement policies and processes.|What are the company\xe2\x80\x99s travel booking policies?\r\nHow do I book a flight for a business trip?\r\nHow can I submit my travel expenses?\r\nHow do I get approval for a business trip?|The chatbot should provide detailed, accurate, and relevant information related to my query.\r\nIt should include any necessary steps, guidelines, or links to resources for further information.|4|2|4|4|1|5|4|2|7b86ffdd1f544b2ff30b86ba8b8c25
female|40-49|4|1|I would expect to have details about hotels, the facilities at the hotel, the location of the hotel that it is central to business, how far to get there from the airport or train station|Is this a suitable hotel for a business trip|I would expect it to give details on the hotel, the area and the benefits for a business trip|4|3|3|5|3|4|4|4|bdd856b672ac99f02096f1b0fd6b03
male|20-29|4|2|I would use chatbot to make me aware of any rules that i might not know about and make a short list out of them. Then run the list thourgh HR if its correct. I would ask about how much am i allowed to spend on food hotel traveling.|"definetly it has its own style i would type something like ""Make me a short list of all the rules i have to obey by when i go on a bussines trip"" ofc if i had details like going to Japan for 4 weeks i would tell those details to as it makes the bot know more."|i would expect it being mostly correct but maybe wrong in numbers department. I would trust it on the how much i can spend daily on food. And would run that through HR|4|3|5|5|4|2|3|1|562db0d432a4918a3e2b4fc1ab0ac9
female|20-29|4|1|I would like to get basic informations about this business travel: how long it takes, accommodation details, destination. Generally I would prefer contacting a real person, but I may consider contacting a chatbot if it provides faster and more accurate answers.|I would first generally ask about a business travel, and then later we may proceed to details. I think it's quite similiar to a conversation with a real person.|I would expect a chatbot to be very accurate, but not empathetic or considerate. |4|5|4|5|3|4|3|5|b31abe70f9457ba9f13dd77ae3863a
female|30-39|3|1|i would get information like reservations, bookings etc|id ask the same as if i were typing it into search engine|i wouldnt expect the highest standard. |4|5|4|4|3|4|4|2|b284d3f286ce58f9587ec7c8bdc73c
male|30-39|4|3|Help onfo and trouble shooting |Issue at hand |Accurate enough |4|3|3|4|4|4|4|4|daddc76437d328b08c7c776782eb34
female|20-29|3|1|from a chatbot I expect to be able to receive general and non-detailed information, for detailed information or for problems I would contact a real person.|the input to the chatbot would be more simplified.|I don't expect to receive very detailed answers|2|4|5|2|3|1|1|4|ece2aa21ec41b1a612611f32724525
female|20-29|4|2|Info regarding the city that I will land. What kind of sightseeing are near my neighborhood that I can visit in my free time. |I am planning to visit this city next week. I will stay at this hotel. What sightseeing do you recommend. As I am on a business trip I will not have so much free time. In search engine I will probably just ask for sightseeing near my hotel's neighborhood. When asking a real person probably it would be the same as the chatbot. |I would expect to receive some bulletpoints with the sightseeing and some info about them. It will probably have some hallucinations, so I would verify the answers at maps.|5|2|4|2|2|5|4|4|36b2e74b2308778203e6aa1a67d368
male|30-39|3|3|I normally use the chatbot for quick questions and answers in policy documents, especially for business travel and acquiring visas for any trips.|Using the chatbot will be easier than speaking to a person due to wait times etc or using a search engine where a bad internet connection appears.|Detailed information, professional style of writing.|4|3|3|5|3|5|5|3|5b180aecb48b50aa0900c791e31b7e
female|30-39|3|3|I would use a chatbot to find out more about products, general information that is usually catered for in the FAQ section or when I want a summary of the products offered|Yes, it is somewhat different, with a chatbot the language is more formal and straightforward than with a real person. I figure a person would understand slang compared to a chatbot\r\n|I would expect a clear answer, straight, forward and details and correct information.|3|4|5|4|4|4|4|4|da23555b7f227184db93069b8fe90d
female|20-29|3|1|I would expect chatbots to give me answers to FAQ's and technical data regarding the website such as how the main procedures work. I would consider using a chat box vs. a real person when my issue is relatively unthreatening and/or not urgent. I would use a chat bot to summarize a companies policy document when I had limited time or wanted my experience to be easier. With a business travel chatbot I would ensure that all of my questions responses were correct, therefore I would choose to speak with a real person.|"I would make my question very short and to the point to a chat box, where as with a person I would communicate more so with emotion and concern. An example of this is if I were to ask a chat box how something would fit on a clothing website, i\'d ask something like this: ""Does this shirt fit like a US 4?"". If I were to ask a human I would say something more like ""I have a relatively flat stomach and smaller chest, is a the xs a better fit for me than a s?"". Travelling is much more complex than a piece of clothing, I would phrase my questions to a chatbot in straightforward and short sentences to ensure correct responses. Talking to a human ensures that my questions can be multi-layerd and more difficult. I can phrase questions to a person as if I was talking to a travel agent, i.e.: ""Is this room the most comfortable one available in this hotel?"" Only a human can truly answer this question."|I would expect to receive a very generic answer from a chatbot. This means that I would expect a very middle level of detail/correctness to a specific circumstance. With a normal issue I would expect an answer that is 100% correct. When dealing with travel, I would hope that every piece of information given to me is correct and true. But to ensure this, I would talk to a representative over a chatbot.|2|5|5|3|4|2|4|5|10fd97013def5584b50f75bf176ff9
female|30-39|2|2|I would expect to get  any information from the chatbot and I would consider using the chatbot as it will assist me more better than a real person |It is different from the using the search engine.the quality is good |Good quality |4|3|4|4|3|4|4|1|750c51071a48cb39f6b7ab22bef5f6
male|20-29|5|2|Travel experince|Search engine|Correct|5|3|3|5|3|5|4|3|f666f28aaa150b0282e569cdafa469
female|30-39|2|3|Chatbot is something that is perform routine tasks efficiently . People like them because they help them get through those tasks quickly so they can focus their attention on high level ,strategic and engaging activities.|A chatbot is a software or computer program that simulates human conversation or chatter through text or voice interactions.|Retantion and engagement |4|4|4|4|4|4|4|2|6a545b2723bb8f31b6bbe95a2fd2e8
female|30-39|3|3|I would expect to get the information that i need from the chatbot thats widely available but means i dont have to go searching for it. I wouldnt expect to get personalised information like i could from a human.\r\n\r\nIf i wanted a personalised question i would contact a human, i would rather use a chatbot than have to search through policy documents myself. |I would be more blunt with a chatbot|I would expect to get quality everything from a chatbot, its automated and i would assum pulling from the policy documents.|3|5|4|4|4|1|4|4|30290a9c9bcd2bf161eb4c945c2281
male|20-29|4|3|i like to know about the place i am going and how to spend my free time|Informal language|the answer should be well detailed |5|4|4|5|4|4|3|5|bef4f95c2e4d20aa7762ff58cea744
female|40-49|3|1|If the chatbot was programmed by the company I was trying to find information about, I would assume it could answer questions that I could find written in the company rules and regulations.|I would be specific about what I was asking.  It is similar to how I would look things up with a search engine.  It is totally different to how I would talk to a person.|Not good quality.  Chat bots are not able to look up additional information and are not able to respond when there is an issue or something they do not compute in a conversation.|1|4|5|1|3|1|1|3|85f5482a7b17efbf91e92f3aeafa23
male|30-39|4|3|I would expect a business travel chatbot to provide information on company policies, approval processes, expense reimbursement, and safety. I'd use it for quick questions, but contact a person for complex issues or consult documents for detailed information.|When using a chatbot, I\xe2\x80\x99d phrase my questions directly, like \xe2\x80\x9cWhat\xe2\x80\x99s the company\xe2\x80\x99s travel policy?\xe2\x80\x9d or \xe2\x80\x9cHow do I get travel approval?\xe2\x80\x9d This is similar to how I\xe2\x80\x99d use a search engine but less conversational than talking to a real person. With a person, I'd probably give more context and ask follow-up questions to get detailed information. With a chatbot, I keep it concise for quick responses.|From a chatbot, I\xe2\x80\x99d expect clear and simple answers. The style should be straightforward, with just enough detail to be helpful. The information should be correct and up-to-date. It should also be able to answer follow-up questions and give links if needed.\r\n|3|3|4|5|3|4|5|2|46ec81c0f5b71b6c29ab9ab3dc6c99
other|20-29|3|1|I would expect the chatbot to be trained to explain company's business travel regulations in simple terms. However, I would rather read the regulations myself than ask a chatbot.|I'm not sure what I would ask about as I've never been on a business trip before, but I expect I would phrase it in a similar way to how I would while using a search engine.|Based on my previous experiences of using chatbots I would expect to get a preset reply that gave me links to the business travel regulations so I could find out more myself. I've heard a lot of anecdotes about AI chatbots giving completely wrong answers recently so I would not trust the information without double checking it myself.|4|2|4|4|4|2|3|2|5037c79044cefc022ea4be342d1fb3
male|20-29|4|2|When it comes to the actual business side of a business trip, I would rely 100% on the company and avoid using a chatbot. The chatbot could come in handy when it comes to external factors about the area I'd be travelling to such as things to check out on my free time.|"I would phrase it pretty similarly to how I would speak to a real person. ""I\'m going on a business trip to Munich this weekend and I want to check out the city since I\'m going to have some free time on Sunday. What are some of the must-see things in Munich that I can spend my Sunday exploring?"|Chatbots usually go into a very high amount of detail unless explicitly asked otherwise. So I'd expect a detailed answer that's mostly correct but requires double checking with external sources to confirm its legitimacy.|4|2|4|4|2|4|4|3|3430e4045ec89d661a7f4d1d9fa659
female|20-29|4|2|Are there benefits to be traveling business, like is the shuttle services from he airport to the hotel part of the business class package. \r\nI am more likely to ask a real life person questions about the company policy and if a said person cannot give me a straight answer, then I would resort to the chatbot option especially if I am in a hurry |Very direct eg. 'Does the business class package include shuttle services?' or ' Charges and time slot for shuttle services?'\r\nWhen using a chatbot, the questions need to be direct and simplified, unlike talking to a real life person. A person can decipher what you are trying to say, unlike a chatbot.|More details, contact details, options. Basically more information so that I can weight my options.|3|5|5|1|1|3|3|3|362db4eff5c339f4119679dd8a63ec
female|20-29|3|2|Fast and efficient information about time schedules or last minute changes.|I would phrase it more directly. With a more neutral tone, clear and concise. It would definitely be different than asking a real person\r\nEg. How to change my ticket if the plane is cancelled and there are no other flights left|Clear and precise. Just the answer to the question I asked.|3|4|5|4|3|3|4|5|2455f27c8aed531cb2046b35a292f8
male|30-39|3|2|Financing of business travel expenses.\r\nBooking of a place to stay would be a circumstance in which I would consider using a chatbot.|What are to closest available accommodation options relative to a specific venue or offices? I would ask the same question to a real person.|I believe I would get a good answer as I believe the chatbot is connected to geographical software and can also give ratings through sourcing of online reviews.|4|3|4|4|2|3|4|3|680364a9f4d189548e98bc745564ec
