expectations_1;chat_exp_1;chat_exp_2;chat_exp_3;chat_exp_4;chat_exp_5;chat_exp_6;chat_exp_7;chat_exp_8;reliability_1;reliability_2;reliability_3;reliability_4;reliability_5;reliability_6;trust_1;trust_2;umux_1;umux_2;umux_3;umux_4;strengths;weaknesses;expectations_2;expectations_3;user
It was lacking information on some answers and was expecting more. ;None;5;3;2;5;2;4;2;3;4;2;1;2;3;3;3;2;2;4;3;Speed of response and was simple and to the point. ;More information, it was too short with information or where i could find more information on the site.  ;Speed and was able to understand what I was looking for. ;Lack of information ;fe874db03aadd15d056f5ebd116a85
Mostly well but lacked detail in some answers ;2;5;5;4;4;1;4;4;4;4;4;3;4;4;4;4;4;4;3;3;Gives directions to other resources that may be useful, offer suggestions, give local information ;Answer specific things in relation to the question ;It was quick and easy ;It could not go into specifics ;92c512341aec50139fc63dab2be508
Well, it was a bit disappointing how sometimes we went round in circles;4;5;5;5;2;3;2;5;2;1;4;3;5;2;3;3;4;5;2;5;Eventually answer some of my questions;Answer some situational questions;Was available straight away;It was very frustrating, I gave up on the last question as it just wasn't understanding me;47c97ed8e9ba2195e48f663a9f35a7
It met my expectations of providing me with factual answers. It also met my expectations of having no opportunity to follow up and get more detail, ask further questions or talk to a real person - I would like a chatbot to do this but all the ones I have used do not so this one met the expectation of behaving similarly to chatbots I have used before;3;5;5;1;5;1;3;3;2;3;3;1;4;2;2;2;2;3;3;2;Recognise key words and provide useful general information;Answer personalised queries or respond with any level of detail;Quick to use, gave me links to more information;Could not provide an answer to a more complicated question;ed81efaafec6d941adbdf96636bd6d
I didn't find it very interactive at all, I could'nt get any answers to my questions that I had. My expectations were not met, it was very much able to give one reply and that was all .;2;4;2;2;2;1;2;5;2;2;4;1;4;1;1;1;1;5;1;4;Not very much, unless you were asking the one same question regarding what kind of trip you were taking it wasnt very good at all!;Answer pretty much any of my questions. It had one track of answers and that was it!;Not alot, it wasn't helpful at all;Pretty much all of it, it wasn't helpful at all;0f97158978beebaeb59f4dda0db17c
It was fine, it did what I would have anticipated pointing me in the direction of further information etc. It did not provide an answer to the second question, this was a multi fauceted question and it struggled with this.;4;3;4;1;5;1;4;4;2;3;3;2;2;2;2;2;2;4;4;4;Simple answers to single questions, pointing people to further reading and information;Answering muti-fauceted questions;It was fast to respond;It wasn't abel to provide answers to some questions;09b1a7da8812a2efd58c0a1b92cc0b
About as I expected from previous use. Dialog was too long / complicated for simple queries. I would not use a chatbot for these queries, I think a page provided by the company on business trips with links / forms included would be easier and clearer.;2;4;3;4;4;2;2;5;2;3;3;2;3;2;2;2;2;4;2;3;Present options for queries;Deal with any queries outside narrow range presented.;Nothing really;Process was long, felt unnecessary when a simple page provided on company's home website would provide more reliable answers quicker.;e100425dee079289c5660a0b2db5d1
the interaction was mostly as i expected, there was a couple missteps with the conversation but it didnt take long to get results required;2;3;4;2;4;4;1;4;4;2;4;2;5;3;2;2;4;3;2;3;get to the crux of the answer required;get to the answer quickly;multiple option hints;long winded responses;5bbe9193fb7d45e2e10d3aade3aa89
I don\xe2\x80\x99t think it answered most of my questions, even when I was specific and exact about what I needed and asked for. I felt frustrated as it was no help.;2;4;5;2;5;2;5;5;1;2;3;2;5;1;1;1;1;5;1;5;It had fast responses.;It gave the wrong answers.;No human contact, fast replies.;It was frustrating and didn\xe2\x80\x99t help me.;e5e122c5a2ead5afc06e4df4c8cf78
it was a very good chatbot and answered all my questions;4;5;5;5;5;4;4;5;5;5;1;5;2;5;5;5;5;1;5;1;told me what i needed to know without asking me too many questions;have a more personal human conversation;it was so easy to use and very straight to the point;nothing;63fe6663ab1740ce3d095bd3ec270f
the first question was answered very quickly and well because the question was simple and there was only one bit to it however the second question had 3 bit to it which made it hard for the bot to answer it and therefore the question ended up not being aswered.;2;5;4;2;5;1;4;1;2;2;4;1;4;2;2;2;2;4;2;4;answer simple questions;manage to answer more complex questions;it wasnt time consumint ;most of my question was not answered;85452be9505ef3ee3499d59b5300f3
The chatbot answered majority of my questions howeverr some answerrs could have been shorter apart from that it was good to interact with ;2;2;4;3;4;2;3;5;4;4;4;2;3;3;3;3;4;2;4;3;Given short answers in some instances ;Give answerrs in one go;It was able to answers my questions at the end ;It is unable to provide direct answers;5a465be12adc3998b4fe940817cddc
I found it was not great;2;3;3;2;2;2;2;3;1;1;3;2;4;3;3;3;1;5;1;5;nothing really, only answered one correctly;answer my questions;I did not enjoy it;frustrating ;ed751396034b4e87fb50846540d2b2
it was under my expectations, the answers provided were not complete, and some answers made not sense to me.;1;4;4;1;5;1;1;1;1;1;5;3;4;2;1;1;1;5;3;3;A lot, answers should be more complete, with more information.;It could not provide me with complete answers for my questions;nothing;every part of it;7f946e73fd33c3a2f15beac9248fc6
I thought that the chat bot was of high quality. It answered questions quickly and with good accuracy. It retrieved answers quickly and didn\xe2\x80\x99t ask too many questions. ;5;3;4;4;4;4;5;2;4;5;3;4;3;4;3;3;4;4;4;4;Answer questions quickly and precisely. Didn\xe2\x80\x99t ask too many questions and retrieved information quickly. ;Take into consideration personal circumstances. ;Quick and easy to use, accurate. ;Not very personal. ;3d9670b634a7a64e7a91bbd34c1823
I think it went well however a few questions weren't answered fully but I would give it another go.;4;4;5;4;2;2;2;2;3;3;4;2;4;4;3;4;3;2;3;2;Give short quick answers.;Give a lot of detail and personalised information.;How easy and simple it was to use.;I didn't really get what I was looking for from it.;1122e007efd6d6c220883470890125
Not detailed enough or specific enough. I don't think the responses would be very helpful if I had actually been in the situations given. ;3;4;3;2;None;3;3;2;3;2;4;2;4;2;2;2;2;3;4;3;Interpret the general question being asked and give a basic response;Give specific or detailed responses that fit my situation or the request being asked.;It was quick and easy to use.;I don't think it would be all that useful for finding out information like this, that is specific and possibly variable.;6a142c3f0766e201573fad3a498a84
Pretty well, I didn't expect it to get it right every time and it didn't;2;4;4;2;5;1;4;2;2;2;2;2;3;2;2;2;2;4;3;2;Answer basic questions that aren't complex;Answer more complex questions;It was short;It was inaccurate / vague some of the time;e004be8181957be418d758d41b56e2
The information it gave me was clear and well presented, but I was expecting a slightly more conversational style from the interactions.;5;1;3;1;2;2;5;1;4;5;2;3;3;4;4;4;5;1;4;1;Get me the information I needed, present it clearly, and link to any relevant resources I might need.;Sound more natural, sound like a conversation instead of an answer bank.;I liked that it was easy to get the information I needed with the prompts I used.;It really felt like I was talking to a robot, not a more advanced AI.;eb7cdc7219ceeb7b2862154329eca8
Yes, but they were very rigid on the answers. It would be nice to ask further clarifying questions afterwards rather than restarting the dialog from the beginning.;4;4;2;2;4;3;5;1;4;4;1;2;1;3;3;3;4;3;4;2;Quickly answering questions in a single turn;Follow up with further questions from the original query- you had to start from the beginning;Quick and further links for reading are provided.;Not always exactly what I was looking for. Can see that there are only specific programmed responses which aren't very broad.;443650e58eea05ea703d12d8b7cf06
worked reasonably well;;;;;;;;;;;;;;;;;;;;;;;;;
It met my expectations pretty well, in the first case where I wasn't sure if the answer was fully answeredd, I wouldn't have known quite how to get more detail from the chatbot.;4;4;5;1;4;1;5;1;4;4;3;1;1;3;3;3;4;2;4;2;Give a straightforward answer with general details.;N/A;It was easy;N/A;4d1e5f75ce5b1667a380c39564e7c9
It seemed like a normal chatbot and could answer simple questions but nothing more complex.;2;5;5;3;5;2;2;5;2;2;5;2;4;2;2;2;2;4;2;4;Answer simple queries quickly - provide information on booking;Answer any intricate questions once the trip was already booked or make amendments;Quick, 24/7 availability.;Frustrating when it did not understand question and defaulted to asking about emergencies?;bf4b5adecf96a4d3eccdcf42e32d91
Some of the answers were very generic and not helpful. I don't think I got my answers answered by the bot.;2;4;3;3;4;3;3;3;2;2;3;3;4;3;3;2;3;3;4;3;Answer generic questions and signposting to generic policies;Answer specific questions to my case;It was simple to use and intuitive ;It was very generic in performance;e5cb9660f35b9a87793344d8882510
Quite below expectations. This chat bot was quite utterly horrible. I've never used such a bad chat bot. Providing no answers to questions? At least give some suggestions.;1;5;5;1;4;1;2;4;2;2;5;1;5;2;2;2;2;5;1;5;Pickup keywords;Give better answers or any answers at all...;It was professional at first.;Seemed like it was a final project for a grade 10 student.;bf83f3984f247796d4437afe55ffa1
It required some work, however it pointed me in the right direction for some circumstances, for some other it didn't appear to understand all so well.;4;4;2;1;5;1;5;1;4;4;4;2;4;4;4;4;4;2;4;1;It provided me with keywords, so I knew what I had to type to make it understand. With this in mind I could phrase a sentence however I wanted, as long as those keywords were included.;I think it wouldn't have been able to go beyond the scope of the keywords, and also it didn't at any point ask for something to be reiterated.;In some circumstances the answer was provided was clear, concise and straight to the point.;It was short, a very quick and simple response.;a8ce5b01446119bd11123e13fb1607
my expectations were kind of met as i was provided with information but it didn't elaborate any further.;3;4;2;1;5;4;4;1;4;3;4;2;3;4;4;4;3;4;4;2;gave me information straight off the bat;cannot give any extra details if asked;was straight to the point;didnt summarise it when i asked;cb723f719b2f5633ede9aa7ae5926c
Overall it was good with the amount of examples to enter into the chatbot, but I would prefer if I was given the options to press what I would like to talk about rather than typing out the entire sentence.;1;4;3;3;2;4;5;3;2;3;5;2;4;2;3;3;2;3;3;4;Provide topics/options to talk about rather than requesting typed-out questions.;It could only direct to certain topics or questions if I enter a specific phrase.;It was fast.;I had to type a lot of things.;ba401ddeae9aef6345d8c3dbddb3bf
as I expected. it was average;3;5;4;4;4;2;4;3;3;4;3;1;5;3;4;4;3;4;4;3;answer specific programmed questions;answer general questions not worded in its index;gave me the answers I wanted for simple questions;if it didnt recognize the question it made up its own answer instead of using key words to come up with new suggestions;a3b3dff3fa294af607a57ff19c591d
The chatbot matched my expectations. The way I typed out the questions to the chatbot were the way I expected it to answer me. ;2;2;5;None;5;2;5;None;5;5;3;4;4;4;3;3;5;1;5;1;It could answer the questions I needed to ask it quite well. ;It was not very personalised and sometimes I didn't feel my question was fully answered. ;It was very simple to use and quick. ;The lack of personalisation.  ;5de43e36ff95340991cc2c338f85da
it was buggy and felt too tedious to talk to. often times, it would go off topic. for example, i was talking about accommodations in new zealand, and it mentioned accommodation prices for hotels in germany.;1;5;4;4;5;1;3;5;1;1;5;1;5;2;1;1;2;5;2;5;provide basic information if i asked specifically. however, this would make the convo longer;stay on topic and provide personable answers to my queries.;it was somewhat quick.;felt too frustrating because most of my concerns weren't really answered at times.;232cd8e82603855aebc8caa4d53fc1
It was actually much better than I expected. I received answers to all the questions that I asked and was satisfied with them.;5;2;3;None;3;4;5;2;4;4;2;4;4;4;4;4;4;2;5;2;It answered the basic questions that I had quite efficiently.;Perhaps more personal questions.;It worked so well and is fun to use.;Nothing.;1d6610aff8f95079a27b87ed0804c5
Wash a bit short and lacking in detail and a little too impersonal;4;4;3;2;4;3;4;3;3;4;2;2;3;3;2;2;3;4;3;2;answer simple questions;give more detailed answers;quick answers;impersonal;000650684db95bdac754d1c314c481
