gender|age|experience_chatbots|experience_businesstravel|expectations_1|expectations_2|expectations_3|chat_exp_1|chat_exp_2|chat_exp_3|chat_exp_4|chat_exp_5|chat_exp_6|chat_exp_7|chat_exp_8|user
male|30-39|3|3|I would use chatbox if I was stuck on a specific business question out of my skill set to broaden my information. This is if there is not a person who I feel can be trusted around to give me the information I need in person. Or if I am looking to learn about a new document I would ask chat box to see what the general opinion is.|I would be more specific and direct with a chatbox than I would with a real person to make sure I am getting the information I need.|I would expect it to be in good English and easy for me to understand. I would expect the level of information to be detailed and to a high level of knowledge and 100% correct in the information I am being given.|4|3|5|5|4|3|4|3|1122e007efd6d6c220883470890125
male|20-29|4|1|I would expect to find information that is accessible online. I would use a chatbot if I'm comparing information from various sources and I'm looking for a summary. I would contact a real person if I need more in-depth information that requires more thinking or if I have a unique situation that requires human judgement.|I would phrase my input as if I'm talking to another person.|I would expect the information to be correct, with sources I can verify myself if I doubt the accuracy of the information.|5|2|4|5|2|3|3|3|eb7cdc7219ceeb7b2862154329eca8
female|30-39|2|1|Finding out about locations/conferences you'd be attending. Finding out what you might or might not be able to expense. Learning more about the airports or places you are travelling to.|"""Tell me about X conference in X city, what to expect"".  I think my request would be more vague and less specific than if I contacted a real person. "|I wouldn't expect specific details for my company in particular, I'd only expect general information or collected information from the internet and other reviews/shared experiences that might be relevant.|3|5|4|3|4|1|3|3|6a142c3f0766e201573fad3a498a84
female|20-29|3|2|Basic Information can be obtained from a chatbot and anything with a simple question and answer. I.e info which is obtainable from a website with a bit of browsing. Anything involving changes to bookings I would rather contact a real person.|Simple, one question at a time. Yes, I would use a search engine or ask a real person in the same way. |Professional. A lot of detail. Correct. |4|3|4|4|4|3|4|3|443650e58eea05ea703d12d8b7cf06
female|40-49|3|3|What the fastest route is to get somewhere, which approved hotels have availability for specific dates, what the expenses policy is.|I'd use simpler language to interact with a chatbot than a human.|Able to answer basic queries based on a set of skills it's been trained on, possibly won't work if you don't use exactly the right phrases.|2|4|4|4|4|2|2|5|e004be8181957be418d758d41b56e2
male|30-39|3|3|general information rather than trip-specific; basic factual information, like visa requirements, departure times, prices, etc. wouldn't trust the accuracy with trip-specific questions.|basic keywords, similar to search engine; i.e. visa requirements for india|specific answer to question or link to website with detailed information|2|4|2|4|2|1|4|3|efe3e9656f07991690a7ef1d71908b
male|60-69|3|2|only if I want the basics quickly|I would start with   What, or Where, or How|the basic info of what I asked and then some possible relevant info|2|4|3|4|4|1|4|3|a3b3dff3fa294af607a57ff19c591d
female|20-29|2|3|Flight information, hotel information, price information, gps information. I would use chatbot in the research stage but prefer a real person when booking or making a payment to avoid error and get clear confirmation. |Similar to using a search engine but not asking a real person. I would phrase in simple terms: 'show me hotels in....' 'show me hotels under....' etc.|I would expect basic quality answer, it would be correct but not very detailed or personable - they would not know my taste in hotel perhaps or travel preferences.|3|5|4|2|4|2|5|5|bf4b5adecf96a4d3eccdcf42e32d91
female|20-29|3|1|I would expect to find Frequently Asked Questions in the chatbot and other simple common questions. I would consider using a chatbot when I need simple and general information directly. I would contact a real person or read through company policy documents in other situations such as more personally related or unusual scenarios.|I would first try to phrase my input as simply and straightforward as possible like when I use Google Chrome or other search engines.|I would expect the quality of the answer coming from a chatbot to be very formal and correct grammar and no spelling mistakes. I would also expect it to provide lots of details such as what you would find in policy documents.|3|4|4|5|4|2|5|4|ba401ddeae9aef6345d8c3dbddb3bf
female|20-29|2|1|I assume a chatbot has an extensive knowledge of facts. In a time crunch I would probably resort to a chatbot because there will be no risk of waiting long periods of time for an answer or of spending a great deal of time reading through unrelated information.|"The phrasing would be a bit more abrupt/brusque than if I were asking a real person. I probably wouldn\'t use phrases like ""please respond when you have time"" or ""could you let me know __ at your earliest convenience."" for a search engine I probably wouldn\'t phrase it as a question or a demand, just type in the subject I want information on"|Honestly I'm not sure how accurate a lot of chatbots are so I'm not sure I would fully trust the answer and would probably look it up afterward just to double check|2|2|5|3|2|4|5|4|4d1e5f75ce5b1667a380c39564e7c9
male|20-29|3|1|Here are the types of information I would expect to get from a chat bot as well as prefer to get from it too.\r\n1. My itinerary\r\n2. Meeting locations and times\r\n3. Closest fine dining restaurants in vicinity\r\n4. Recommended attire |I would speak to it like I speak to any chat support be it AI or a real person. I would be very direct without extra words and would obviously only say thank you to a real person.|Style: Obviously a robot\r\nLevel of detail: Grade 12 reading & writing\r\nCorrectness: Subpar |3|4|2|1|5|1|2|5|bf83f3984f247796d4437afe55ffa1
male|20-29|4|1|I would expect a well trained chat bot should be able to pull relevant and public information from the company ready for the user. They should be able to provide prices, they should be able to provide the best options for you as a customer.\r\n\r\nSimply, in the situation where I'm not getting the answers I am expecting with a chat bot, I will move through to a real person, with company policy documents being my last point of call.|I would phrase it much like asking a real person. In the age of AI, I think chat bots are becoming more and more intelligent, and we should treat them more-so like speaking to a human being to get ourselves the most valuable result.|I would expect a high-quality answer, which was correct. If it wasn't correct, maybe I wouldn't search for the information from any other source on the website, and take it as 100% truthful. It doesn't have to be well-written, but it should at least make sense.|5|5|4|5|5|2|4|3|a8ce5b01446119bd11123e13fb1607
male|30-39|4|3|You can use a chatbot for travel planning (like itinerary checks, routine bookings), policy clarifications (travel, expenses etc), flight confirmations, hotel bookings, queries outside of business hours, emergency situations and signposting, policy reviews and sometimes complex queries involving multiple trips etc.\r\n\r\nI would use chatbots to get to specific information as they should be able to streamline many aspects of business travel.|I would phrase my input in a similar fashion as to how I would use to talk to a human.|You should be able to get quality answers depending on how the chatbot has been trained. Most of the time a chatbot is useful for generic information but sometimes case to case information can be tricky and hence might need a human supervisor|5|5|4|4|4|4|2|4|e5cb9660f35b9a87793344d8882510
male|20-29|3|1|when i am speaking to an ai i would expect to get answers that doesn't sound very human. they would have perfect spelling and talk as if they are in a film or tv show. i would use it in the circumstance that i need to know something that has to be explained like im a 5 year old. i  wouldnt use it for contacting people as it wouldnt have the same flair as if they were talking to a real person. definetly not for reading documents as ai is not perfect and they can overead things.|i would explain it clearly and put in details that is a must. it is very different to how i would search it up or ask a real person.|i would expect to get a near perfect answers with some flaws in the way they speak. obviously i would have to adjust it so that it would fit my style in the occaision im using it to fill something out.|4|3|3|4|2|3|2|4|cb723f719b2f5633ede9aa7ae5926c
female|30-39|3|2|I would expect to be able to get various business travel information about different destinations, places to stay and ways to travel. I would use a chatbot if I needed to get information quickly.|I would make sure the input I used was very concise. It would be different to how I would use a search engine or ask a real person. |I would expect to get a answer in a paragraph or steps and for it to be quite detailed and the correct usage of grammar and spelling. |2|4|5|5|2|2|2|4|5de43e36ff95340991cc2c338f85da
female|30-39|3|1|I expect that one would find information about how to manage travel expenses best, most efficient ways to travel. arranging flight tickets, hotel. car rentals etc. I think I would consider using a chatbot first and see how that works out then use a real person as a secondary option.|I think that I would phrase my input to a chatbot close to what I would use for a search engine but more abbreviated than for a real person.|I would expect a chatbot to have very brief and direct answers but to often not meet the needs I have.|2|5|5|4|4|2|5|4|1d6610aff8f95079a27b87ed0804c5
female|20-29|4|1|i expect just basic, general information. i'd consider using a chatbot if my circumstance isn't urgent or dealing with private, specific concerns.|similar to a search engine, not very personable. more direct.|i'd expect a surface-level answer. it would be obvious it's just pulling out information from an FAQ page or something,|2|5|4|4|2|2|4|4|232cd8e82603855aebc8caa4d53fc1
female|30-39|3|1|If I was trying to get straight forward information that had a definite answer|Similar to asking a human or a search engine|High level of detail and accuracy|4|1|3|4|3|2|4|5|000650684db95bdac754d1c314c481
